id,text,payment_method,issue_type,priority,merchant_or_customer,cleaned_text,cluster
CASE-0199,"Wire or ACH exception requires bank response, beneficiary details, and operations review.",merchant,transfer_exception,medium,customer,wire ach exception requires bank response beneficiary details operations review,5
CASE-0200,Payment rail exception is unresolved for reference PO070020; escalate if compliance risk appears.,card,transfer_exception,medium,merchant,payment rail exception unresolved reference po070020 escalate if compliance risk appears,0
CASE-0201,upi transfer is pending beyond the expected processing window for operations team.,upi,transfer_exception,medium,operations team,upi transfer pending beyond expected process window operations team,3
CASE-0202,ach transfer returned because bank account information requires verification.,ach,transfer_exception,medium,account holder,ach transfer returned because bank account information requires verification,5
CASE-0203,"Wire or ACH exception requires bank response, beneficiary details, and operations review.",wire,transfer_exception,medium,customer,wire ach exception requires bank response beneficiary details operations review,5
CASE-0204,Payment rail exception is unresolved for reference PO070024; escalate if compliance risk appears.,merchant,transfer_exception,medium,merchant,payment rail exception unresolved reference po070024 escalate if compliance risk appears,0
CASE-0205,card transfer is pending beyond the expected processing window for operations team.,card,transfer_exception,medium,operations team,card transfer pending beyond expected process window operations team,3
CASE-0206,upi transfer returned because bank account information requires verification.,upi,transfer_exception,medium,account holder,upi transfer returned because bank account information requires verification,5
CASE-0207,"Wire or ACH exception requires bank response, beneficiary details, and operations review.",ach,transfer_exception,medium,customer,wire ach exception requires bank response beneficiary details operations review,5
CASE-0208,Payment rail exception is unresolved for reference PO070028; escalate if compliance risk appears.,wire,transfer_exception,medium,merchant,payment rail exception unresolved reference po070028 escalate if compliance risk appears,0
CASE-0209,merchant transfer is pending beyond the expected processing window for operations team.,merchant,transfer_exception,medium,operations team,merchant transfer pending beyond expected process window operations team,3
CASE-0210,card transfer returned because bank account information requires verification.,card,transfer_exception,medium,account holder,card transfer returned because bank account information requires verification,5
